"Subject Area","Framework or Law","Application Description","Failure Scenario","Corrective Application","Source/Footnote","Create Date","Update Date"
"Access Control","NIST SP 800-53","NIST requires strict access control policies including multi-factor authentication and role-based access control to protect sensitive systems.","Access granted to unauthorized personnel leads to data breach and loss of classified information.","Implement RBAC, enforce MFA, and conduct periodic access reviews.","NIST SP 800-53 Rev. 5, AC-2 & AC-3","2025-07-29","2025-07-29"
"Change Management","COBIT 5","COBIT 5 emphasizes a structured change process to reduce risk, including stakeholder approval, testing, and documentation.","Unapproved changes lead to unexpected system downtime and compliance violations.","Establish formal change advisory boards and standardized change workflows.","COBIT 5, DSS06.01","2025-07-29","2025-07-29"
"Data Stewardship","DAMA-DMBOK2","Assign data stewards to ensure data ownership, quality, and accountability across business units.","Lack of ownership causes data inconsistencies and inaccurate reporting.","Define data domains, assign stewards, and implement stewardship policies.","DAMA-DMBOK2, Chapter 10","2025-07-29","2025-07-29"
"Audit Logging","NERC CIP-007","Mandates logging of system access and monitoring to support incident detection and response.","Lack of logs impairs forensic investigations after a cyberattack.","Implement centralized logging with log integrity controls and retention policies.","NERC CIP-007-6, Requirement R4","2025-07-29","2025-07-29"
"Risk Management","ICAO Annex 19","Establishes a Safety Management System (SMS) for identifying, analyzing, and mitigating operational risks in aviation.","Operational hazard goes unmitigated, resulting in a near-miss aviation incident.","Maintain an active SMS with proactive hazard identification and mitigation plans.","ICAO Annex 19, Chapter 3","2025-07-29","2025-07-29"
"Configuration Management","ITIL v4","Tracks IT assets and configurations through a Configuration Management Database (CMDB).","Inaccurate configuration data results in deployment failures.","Use discovery tools and audits to keep the CMDB accurate and current.","ITIL v4, Section 5.2.10","2025-07-29","2025-07-29"
"Ethical Governance","ISO/IEC 38505","Outlines responsibilities for ethical use of personal and enterprise data within governance structures.","Improper use of personal data results in regulatory fines and loss of public trust.","Implement data ethics policy, conduct ethical risk assessments, and provide staff training.","ISO/IEC 38505-1:2017, Clause 5","2025-07-29","2025-07-29"
"Segregation of Duties","SOX","Requires separation of duties in financial operations to prevent fraud and errors.","A single employee can initiate and approve transactions, increasing risk of fraud.","Separate conflicting roles and enforce dual approval for sensitive actions.","Sarbanes-Oxley Act, Section 404","2025-07-29","2025-07-29"
"Human Resources","FAA Order 1370.121","Outlines IT security roles and required training for FAA personnel to protect systems.","Employees fail to detect phishing emails due to lack of security awareness.","Implement mandatory annual cybersecurity training for all FAA personnel.","FAA Order 1370.121, Section 5","2025-07-29","2025-07-29"
"IT and Business Alignment","COBIT 5","Ensures IT investments align with business strategy and deliver measurable value.","IT projects fail to support business outcomes, resulting in wasted spend.","Use governance scorecards and KPI tracking to measure IT contribution to business goals.","COBIT 5, EDM01","2025-07-29","2025-07-29"
