"Subject Area","Framework or Law","Application Description","Failure Scenario","Corrective Application","Source/Footnote","Create Date","Update Date"
"Change Management","ITIL","ITIL provides standardized change control to minimize disruption and risk during IT changes.","Unauthorized system updates result in system outages and downtime.","Implement change advisory board (CAB) review and documented change requests.","ITIL Foundation v4, AXELOS, Section 5.2.4","2025-07-29","2025-07-29"
"Change Management","COBIT","COBIT DS8 outlines managed changes to minimize the impact on services and operations.","Changes made without adequate controls lead to compliance failures and system instability.","Apply formal change management process with approval gates and impact assessments.","COBIT 5, Enabling Processes, DSS06","2025-07-29","2025-07-29"
"Data Quality","DAMA-DMBOK","DAMA-DMBOK outlines principles for ensuring data accuracy, completeness, and consistency.","Critical reports contain incorrect or outdated data, leading to poor decision-making.","Establish data profiling and monitoring processes with regular quality audits.","DAMA-DMBOK2, Chapter 13, Data Quality Management","2025-07-29","2025-07-29"
"Data Quality","SOX","SOX enforces internal controls to ensure accurate financial data reporting.","Material misstatements in financial reports due to inaccurate source data.","Implement internal control audits and segregate duties in data access and entry.","Sarbanes-Oxley Act, Section 404","2025-07-29","2025-07-29"
"Access Control","NIST","NIST SP 800-53 enforces role-based access control to safeguard information systems.","Unrestricted access results in data breaches or unauthorized data manipulation.","Define and enforce access control lists and multi-factor authentication.","NIST SP 800-53 Rev. 5, AC-2","2025-07-29","2025-07-29"
"Risk Management","ISO 31000","ISO 31000 provides principles and guidelines for enterprise risk management.","Undetected risks lead to system failures, regulatory breaches, or data loss.","Implement enterprise risk assessments and continuous monitoring processes.","ISO 31000:2018, Clause 6","2025-07-29","2025-07-29"
"Audit Logging","NERC CIP","NERC CIP-007 requires monitoring of system activity and protection of log integrity.","Insufficient logging fails to detect cybersecurity events or intrusions.","Deploy centralized log collection with retention policies and review procedures.","NERC CIP-007-6, R4","2025-07-29","2025-07-29"
"Configuration Management","ITIL","ITIL tracks and controls IT assets through the configuration management database (CMDB).","Inaccurate asset records lead to misinformed change decisions and downtime.","Maintain an up-to-date CMDB with discovery tools and periodic audits.","ITIL Foundation v4, Section 5.2.10","2025-07-29","2025-07-29"
"Segregation of Duties","SOX","SOX mandates division of responsibilities to reduce the risk of fraud.","Single user has authority to create and approve financial transactions.","Implement role separation in financial systems and approval workflows.","Sarbanes-Oxley Act, Section 404","2025-07-29","2025-07-29"
"Principle of Least Privilege","NIST","NIST enforces limiting access rights to the minimum required for job functions.","Users with excessive privileges unintentionally or maliciously alter systems.","Regularly review and restrict access rights according to job roles.","NIST SP 800-53 Rev. 5, AC-6","2025-07-29","2025-07-29"
"Data Management","DAMA-DMBOK","DAMA-DMBOK defines core functions of enterprise data governance and architecture.","Lack of standards causes inconsistent definitions and system silos.","Adopt common data models and enterprise metadata standards.","DAMA-DMBOK2, Chapter 2","2025-07-29","2025-07-29"
"Data Stewardship","DAMA-DMBOK","DAMA-DMBOK emphasizes accountability for data quality and policy enforcement.","No designated data owners leads to quality degradation and unclear accountability.","Assign stewardship roles and responsibilities aligned to business functions.","DAMA-DMBOK2, Chapter 10","2025-07-29","2025-07-29"
"Ethical Governance","ISO/IEC 38505","ISO/IEC 38505 provides guidance for ethical use of data in decision-making.","Misuse of personal data results in reputational damage and legal consequences.","Implement ethical review processes and transparent data usage policies.","ISO/IEC 38505-1:2017, Clause 5","2025-07-29","2025-07-29"
"Human Resources","FAA Order 1370.121","FAA defines roles for IT workforce competence, security training, and access control.","Inadequately trained personnel introduce security vulnerabilities.","Provide annual security training and certification validation.","FAA Order 1370.121, Section 5","2025-07-29","2025-07-29"
"IT and Business Alignment","COBIT","COBIT promotes alignment of IT goals with enterprise objectives through value delivery.","IT projects fail to support business strategy or improve outcomes.","Define and track IT value metrics tied to business KPIs.","COBIT 5, EDM01","2025-07-29","2025-07-29"
"Risk Management","ICAO Annex 19","Annex 19 establishes the Safety Management System (SMS) for identifying and mitigating aviation risks.","Failure to identify operational risks leads to preventable accidents.","Implement proactive risk assessments and continuous safety performance monitoring.","ICAO Annex 19, Chapter 3","2025-07-29","2025-07-29"
"Configuration Management","DO-326A","DO-326A addresses cybersecurity design assurance for airborne systems and equipment.","Unauthorized firmware or hardware changes introduce exploitable vulnerabilities.","Establish secure baseline configurations and audit trail validation for avionics systems.","RTCA DO-326A, Section 2.4","2025-07-29","2025-07-29"
"Audit Logging","FERC","FERC requires logging and retention of key operational records for regulated entities.","Missing audit logs compromise forensic investigations and regulatory reviews.","Enforce long-term audit logging practices with retention and access controls.","FERC Order No. 717, Section III.E","2025-07-29","2025-07-29"
"Access Control","NERC CIP","NERC CIP-005 and CIP-007 regulate electronic access to critical cyber assets in the energy sector.","Unauthorized access to control systems causes disruptions to critical infrastructure.","Deploy role-based access controls and intrusion detection at electronic security perimeters.","NERC CIP-005-6 and CIP-007-6","2025-07-29","2025-07-29"
"Data Management","FAA Order 8000.369","FAA defines data governance roles and responsibilities to support safety oversight functions.","Lack of structured data ownership results in inconsistent safety oversight reporting.","Assign accountable data stewards and implement data lifecycle standards.","FAA Order 8000.369, Section 4","2025-07-29","2025-07-29"
"Ethical Governance","FAA Compliance Philosophy","Encourages voluntary compliance and ethical responsibility to disclose and correct safety issues.","Operators conceal violations leading to enforcement actions and safety threats.","Promote a just culture with non-punitive self-reporting and cooperative risk resolution.","FAA Compliance Philosophy, FAA Order 8000.373","2025-07-29","2025-07-29"
